Timestamp,consent_YN,age,gender,degree,diagnosis_YN,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
25,I agree,20,Female,"Some college, no degree",No,1,5,1,4,4,5,2,2,2,1,2,2,5,2,1,4,5,5,1,1,1,1,5,1,5,4,2,5,2,1,1,4,4,5,5,4
26,I agree,Older than 25,Female,"Some college, no degree",No,3,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,5,5,1,5,1,3,1,3,2,2,2,4,5,3,1,5,1,5
27,I agree,18,Female,Bachelor's,No,2,4,3,2,2,4,1,5,5,2,5,3,5,2,1,5,5,5,3,1,1,3,5,5,5,5,2,5,3,1,3,3,4,3,5,3
28,I agree,19,Female,"Some college, no degree",No,2,4,3,3,4,4,2,3,3,1,3,3,3,4,2,3,3,3,4,3,2,4,3,3,3,3,4,3,4,3,3,4,4,3,4,3
29,I agree,Older than 25,Female,Bachelor's,No,3,4,1,3,3,4,3,3,3,1,2,4,4,3,3,4,4,5,4,4,2,1,4,3,3,2,2,3,3,3,2,3,3,3,5,3
30,I agree,19,Female,"Some college, no degree",No,2,5,2,5,4,4,5,3,5,2,3,3,4,3,2,5,5,5,3,2,3,3,4,3,3,4,3,4,4,2,2,5,3,2,5,2
31,I agree,19,Male,Bachelor's,No,5,2,3,2,2,4,3,4,2,2,4,2,2,2,1,4,3,4,5,5,1,4,4,4,2,2,4,5,4,1,2,2,3,5,4,1
32,I agree,22,Male,Master's,No,1,3,4,3,5,5,4,2,2,1,5,5,5,5,4,5,4,5,4,3,1,5,4,4,3,5,1,4,2,2,2,2,2,4,5,4
33,I agree,21,Male,Bachelor's,No,2,4,1,3,3,3,3,4,3,1,2,4,4,3,4,4,2,4,4,4,2,2,4,3,4,2,2,4,2,2,2,5,5,4,2,3
34,I agree,19,Male,Bachelor's,No,4,4,3,3,2,5,1,4,1,2,5,1,2,2,2,5,2,1,5,3,2,5,2,4,2,1,3,1,4,5,5,3,1,2,1,5
35,I agree,19,Female,Bachelor's,Yes,1,3,3,4,4,4,4,2,5,1,4,4,4,4,4,5,4,2,5,3,2,2,4,4,3,3,4,3,4,3,3,4,2,3,2,3
36,I agree,19,Male,"Some college, no degree",No,2,3,3,3,3,4,2,3,2,3,4,1,4,1,1,4,1,1,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3,1,3,4
37,I agree,24,Male,Bachelor's,No,2,1,4,5,5,4,5,5,1,4,4,1,1,1,1,1,5,4,3,3,2,5,5,5,4,3,4,4,3,2,3,4,4,4,4,5
38,I agree,Older than 25,Female,Bachelor's,No,2,4,1,5,1,5,1,2,2,1,5,1,4,5,1,1,5,4,1,5,5,1,1,5,3,1,5,5,5,1,1,1,3,4,5,1
39,I agree,25,Female,Graduate Certificate ,Yes,2,5,1,5,5,5,4,1,4,1,1,5,5,5,4,4,2,2,3,2,3,3,4,3,4,3,5,3,5,3,3,1,1,3,3,1
40,I agree,22,Male,Bachelor's,No,2,5,4,4,4,4,4,2,4,1,3,3,4,4,3,4,4,4,3,3,2,5,4,4,4,4,4,4,5,4,3,4,4,3,5,4
41,I agree,19,Male,Bachelor's,No,4,2,4,4,4,4,4,2,4,1,4,4,4,2,2,2,5,2,5,1,1,5,4,2,5,5,3,4,4,2,4,4,4,1,4,2
42,I agree,19,Male,Bachelor's,No,2,3,4,4,4,1,4,2,3,2,4,1,4,1,1,2,2,2,5,4,2,5,2,5,4,5,2,2,4,4,4,4,4,2,2,4
43,I agree,N/A,Female,Less than a high school diploma,No,2,5,1,5,5,5,4,3,5,1,3,3,5,2,3,4,2,5,3,4,1,2,2,2,4,2,3,4,2,2,2,5,5,1,5,3
44,I agree,Older than 25,Female,High school diploma,No,3,2,3,3,2,3,3,3,4,3,3,2,2,3,3,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5
45,I agree,Older than 25,Female,Bachelor's,No,2,4,2,4,4,5,5,2,3,1,4,4,4,4,4,4,2,1,5,4,4,5,4,4,1,4,5,1,5,5,5,2,1,4,1,4
46,I agree,19,Male,Bachelor's,No,1,4,3,5,4,5,2,2,3,1,2,2,4,3,1,4,3,4,5,4,1,2,4,5,4,2,1,4,5,2,2,2,2,4,3,3
47,I agree,21,Female,Bachelor's,N/A,2,5,1,2,2,3,3,3,1,1,4,3,3,2,2,4,4,1,3,4,4,1,2,2,2,4,4,2,5,4,5,3,4,4,4,5
48,I agree,Older than 25,Male,Master's,No,1,1,4,2,3,1,1,2,1,1,4,3,4,2,1,5,2,4,3,2,1,5,3,4,5,2,5,4,3,2,3,1,1,3,2,3
49,I agree,20,Female,High school diploma,Yes,1,5,2,4,4,4,3,4,4,1,3,4,5,4,2,4,4,4,4,4,2,2,2,4,4,4,2,4,4,2,4,4,2,2,4,4
50,I agree,19,Female,Bachelor's,No,5,5,1,5,5,5,5,2,2,1,1,2,4,5,5,4,5,4,4,2,1,4,4,2,4,5,1,5,2,1,2,2,2,3,4,1
51,I agree,Older than 25,Male,Master's,No,2,4,1,4,4,4,4,2,4,2,4,4,4,2,2,3,4,2,2,2,4,2,2,4,3,2,5,2,4,2,2,2,1,5,2,5
52,I agree,18,Female,Bachelor's,No,1,3,3,2,1,2,1,4,5,1,4,2,1,1,1,5,5,5,2,1,1,1,3,5,3,5,1,5,5,1,1,1,1,4,5,5
53,I agree,19,Female,Bachelor's,No,2,5,3,3,4,4,4,2,3,2,3,3,4,2,2,4,4,5,5,1,2,5,5,2,3,5,2,5,4,2,2,4,4,1,5,1
54,I agree,22,Male,Bachelor's,No,3,1,4,2,1,1,1,4,1,1,4,1,1,1,1,1,3,3,3,3,1,4,2,3,3,2,3,1,5,2,3,1,2,4,1,4
55,I agree,20,Female,High school diploma,No,1,4,1,5,4,4,4,4,3,4,2,3,3,3,4,4,4,3,1,2,4,5,3,4,4,3,1,3,4,2,4,2,2,1,4,1
56,I agree,20,Female,Bachelor's,No,3,4,2,2,3,4,2,4,3,1,4,3,4,4,2,4,3,4,4,1,2,4,2,1,3,4,4,4,2,1,2,4,4,3,3,4
